fish_name,tank_volume_m3,fish_count,initial_weight_g,stocking_density_fish_m3,temperature,ph,dissolved_oxygen,ammonia,nitrite,alkalinity,feed_protein_percent,daily_feed_kg,culture_period_days,final_weight_g,final_biomass_kg,survival_rate_percent,fcr
Mrigal,66.4,7308,26.2,110.06,30.0,7.78,6.52,0.06,0.31,128.0,28.2,5.572,170,46.01,300.82,89.47,1.61
Pangasius,11.5,5985,11.5,520.43,27.2,8.03,6.26,0.4,0.85,116.5,32.0,1.845,109,18.85,89.97,79.74,1.69
Silver Carp,64.2,6344,58.1,98.82,29.9,8.09,4.97,1.13,0.48,175.7,30.3,5.824,166,92.56,442.2,75.31,1.91
Common Carp,15.4,2317,38.5,150.45,29.4,7.63,6.92,0.65,0.04,95.9,31.4,2.435,178,65.06,112.88,74.88,1.85
Rohu,78.0,9695,58.1,124.29,24.0,7.16,5.8,0.96,0.82,101.6,30.6,13.124,165,95.01,709.16,76.99,1.81
Pangasius,63.9,8283,22.9,129.62,28.5,7.35,4.61,0.55,0.08,160.9,29.7,4.23,155,45.92,329.78,86.7,1.43
Common Carp,36.0,7573,9.9,210.36,24.1,6.61,5.09,0.75,0.12,94.7,34.8,2.189,134,15.22,83.14,72.15,1.6
Silver Carp,6.3,3660,59.6,580.95,31.9,7.49,4.54,0.96,0.7,135.5,26.3,4.101,119,85.15,213.97,68.66,1.78
Common Carp,16.7,1244,69.2,74.49,31.7,6.54,3.8,1.19,0.4,87.3,30.5,2.298,138,102.76,81.29,63.59,1.75
Gulsha,92.9,3031,15.2,32.63,31.7,6.7,5.09,1.02,0.64,166.9,27.4,0.774,189,25.24,47.97,62.71,1.87
Mrigal,70.3,7437,71.4,105.79,28.3,7.03,5.73,1.03,0.69,91.0,32.6,8.868,108,94.43,474.26,67.53,1.92
Magur,69.9,5033,16.4,72.0,30.7,8.17,6.2,1.13,0.4,135.0,30.3,1.857,159,27.76,102.17,73.13,1.75
Mrigal,13.6,8439,29.7,620.51,24.1,8.13,3.77,0.48,0.23,119.3,25.3,7.269,167,50.21,315.47,74.45,1.92
Magur,93.3,401,27.6,4.3,29.0,8.47,4.33,0.49,0.28,141.5,34.7,0.187,189,55.37,19.04,85.75,1.56
Pabda,50.7,1310,51.6,25.84,29.3,7.97,5.43,0.95,0.11,94.9,27.7,1.649,109,76.31,83.7,83.73,1.57
Thai Koi,88.3,7528,6.3,85.25,25.8,6.74,5.56,0.65,0.32,131.7,34.2,0.811,185,12.7,76.71,80.21,1.48
Mrigal,57.1,564,57.1,9.88,28.7,7.51,6.3,0.96,0.89,102.9,34.4,0.889,114,78.79,34.06,76.65,1.83
Magur,16.1,5972,12.7,370.93,28.7,7.15,6.56,0.48,0.56,127.4,28.1,1.676,215,24.07,108.72,75.64,1.71
Koi,42.9,9350,7.6,217.95,30.3,8.2,6.63,0.14,0.64,173.9,30.5,2.047,197,14.71,106.03,77.08,1.68
Pangasius,20.2,2657,61.4,131.53,31.4,7.05,5.8,1.04,0.51,129.4,29.8,3.687,215,125.13,231.5,69.63,1.72
Pabda,7.6,3490,69.5,459.21,30.1,7.74,5.84,0.69,0.2,128.6,34.5,4.584,218,135.26,360.05,76.27,1.71
Common Carp,93.4,4846,39.9,51.88,25.0,7.0,7.15,0.33,0.19,177.0,33.9,4.292,210,84.58,378.62,92.38,1.6
Koi,93.2,1197,18.7,12.84,25.2,8.3,6.43,1.07,0.04,144.6,31.7,0.546,235,36.94,31.11,70.35,1.79
Rohu,61.2,1256,44.9,20.52,31.4,8.15,5.81,0.67,0.11,171.3,30.3,1.353,200,81.36,88.31,86.42,1.75
Shing,86.9,8826,55.9,101.57,27.3,8.08,6.51,1.07,0.41,89.9,26.3,9.769,207,111.16,730.81,74.49,1.75
Shing,38.0,6116,26.7,160.95,28.0,8.26,4.86,0.47,0.72,138.0,25.4,3.511,127,39.48,169.19,70.07,1.65
Silver Carp,93.3,5703,31.5,61.13,25.0,6.67,4.11,0.34,0.23,155.9,25.6,5.12,211,60.32,294.19,85.52,1.67
Common Carp,99.9,3269,29.6,32.72,26.6,6.64,6.13,0.33,1.0,129.8,27.5,2.187,91,42.72,112.87,80.82,1.64
Common Carp,24.0,1242,35.2,51.75,31.0,6.53,4.24,0.09,0.35,170.7,34.5,0.713,107,53.89,57.6,86.07,1.66
Shing,89.3,8433,58.2,94.43,27.0,6.88,4.02,0.66,0.64,73.2,29.7,12.466,212,109.19,693.76,75.34,1.66
Pangasius,75.6,5717,39.6,75.62,25.1,8.37,7.46,0.38,0.53,133.6,34.5,4.392,123,67.58,313.45,81.13,1.43
Catla,8.3,5471,25.0,659.16,29.1,7.66,7.46,0.35,0.61,114.4,33.3,3.433,95,35.07,142.18,74.11,1.77
Common Carp,23.3,5902,47.7,253.3,30.2,8.29,4.86,0.49,0.73,114.4,27.7,4.448,205,88.4,366.4,70.23,1.81
Pabda,22.0,5127,78.1,233.05,26.7,7.55,4.38,1.15,0.53,175.6,32.7,9.61,120,112.52,346.12,60,1.62
Catla,37.7,6809,41.6,180.61,31.2,7.89,6.28,0.41,0.24,126.8,25.6,6.175,123,63.37,351.85,81.55,1.83
Mrigal,34.1,9528,74.7,279.41,31.2,7.39,4.69,1.05,0.77,70.3,31.4,20.854,129,101.88,584.25,60.19,1.72
Magur,72.0,2818,35.8,39.14,26.9,8.43,6.42,0.11,0.2,141.7,28.9,1.977,195,71.94,171.44,84.57,1.44
