ph,temperature,turbidity,fish
6.0,27.0,4.0,katla
7.6,28.0,5.9,sing
7.8,27.0,5.5,sing
6.5,31.0,5.5,katla
8.2,27.0,8.5,prawn
6.9,25.0,4.0,katla
7.3,30.0,4.0,katla
7.2,29.0,4.0,katla
7.5,32.0,4.0,katla
7.7,22.0,6.0,rui
7.9,29.0,5.5,rui
8.9,27.0,7.5,rui
8.8,30.0,6.8,rui
8.4,25.0,5.0,rui
6.1,31.0,4.9,rui
5.5,18.0,5.0,koi
6.0,27.0,4.0,katla
7.6,28.0,5.9,sing
7.1,23.0,5.5,koi
6.2,19.0,6.1,koi
6.8,22.0,5.9,koi
5.9,21.0,6.0,koi
7.5,29.0,6.0,prawn
8.2,27.0,8.5,prawn
7.9,29.0,7.2,prawn
7.8,27.0,5.6,sing
8.3,30.0,5.3,prawn
7.3,32.0,5.8,prawn
7.9,29.0,7.2,prawn
7.8,27.0,5.6,sing
7.5,31.0,7.2,sing
7.9,25.0,5.6,sing
8.5,32.0,6.0,sing
8.1,29.0,7.2,sing
7.9,28.0,6.1,sing
8.5,30.0,3.0,pangas
7.4,29.0,3.7,pangas
7.8,25.0,3.9,pangas
8.0,27.0,3.8,pangas
6.5,21.0,5.0,tilapia
5.9,25.0,5.5,tilapia
5.6,27.0,6.8,tilapia
7.1,28.0,6.1,tilapia
6.8,27.0,7.2,tilapia
8.6,31.0,3.3,pangas
8.5,31.0,3.5,pangas
8.6,31.0,3.0,pangas
7.1,28.0,6.1,tilapia
8.3,31.0,5.3,prawn
7.0,30.0,6.0,silverCup
7.4,30.0,6.2,pangas
7.8,28.0,6.0,pangas
7.7,28.0,6.5,prawn
8.2,30.0,8.0,prawn
7.9,26.0,6.0,prawn
7.5,31.0,6.2,prawn
7.8,27.0,7.0,prawn
5.7,32.0,4.08,koi
7.0,31.0,4.05,koi
6.2,29.0,4.0,koi
6.6,25.0,4.13,koi
6.0,26.0,4.11,koi
8.2,30.0,6.8,pangas
7.6,31.0,6.7,pangas
7.8,27.0,5.7,pangas
8.0,28.0,5.9,pangas
8.0,25.0,4.0,katla
8.2,31.0,4.0,katla
8.1,28.0,4.0,katla
8.5,32.0,4.0,katla
8.0,27.0,4.0,katla
6.2,26.0,4.1,katla
6.9,30.0,4.13,katla
6.5,28.0,4.12,katla
7.9,30.0,4.0,prawn
7.8,28.0,4.11,prawn
6.0,26.0,4.01,koi
7.0,28.0,4.12,koi
7.6,29.0,4.13,koi
8.0,31.0,4.15,koi
8.5,30.0,4.0,koi
6.1,24.0,3.0,tilapia
6.2,25.0,4.0,tilapia
6.3,26.0,3.5,tilapia
6.4,24.0,4.1,tilapia
6.5,26.0,4.2,tilapia
8.5,30.0,4.0,koi
6.1,24.0,3.0,tilapia
6.7,25.0,4.5,tilapia
6.8,26.0,3.1,tilapia
7.0,25.0,3.2,tilapia
7.5,24.0,3.3,tilapia
8.5,30.0,4.0,koi
7.8,25.0,3.4,tilapia
7.9,26.0,3.5,tilapia
8.0,26.0,3.6,tilapia
7.0,30.0,4.0,pangas
8.2,24.0,3.7,tilapia
8.3,25.0,3.8,tilapia
7.2,26.0,3.9,tilapia
7.4,26.0,3.0,tilapia
8.9,27.0,3.0,tilapia
9.0,28.0,3.3,tilapia
7.0,30.0,4.0,pangas
7.4,31.0,3.0,pangas
7.3,25.0,2.0,pangas
7.5,27.0,1.0,pangas
7.2,28.0,5.0,pangas
6.5,30.0,3.8,pangas
6.8,29.0,3.7,pangas
8.5,27.0,2.5,pangas
9.0,28.0,3.5,pangas
7.0,5.0,5.0,karpio
7.1,10.0,6.0,karpio
7.2,15.0,7.0,karpio
7.3,20.0,8.0,karpio
7.5,25.0,9.0,karpio
7.4,26.0,10.0,karpio
7.0,28.0,5.5,karpio
7.1,30.0,6.5,karpio
7.2,12.0,7.5,karpio
7.3,13.0,8.5,karpio
7.5,14.0,9.5,karpio
7.4,18.0,5.2,karpio
7.0,22.0,6.2,karpio
7.1,31.0,7.2,karpio
7.2,19.0,8.2,karpio
7.3,7.0,9.2,karpio
7.5,8.0,5.3,karpio
7.4,9.0,6.3,karpio
7.0,11.0,7.3,karpio
7.1,16.0,8.3,karpio
7.2,17.0,9.3,karpio
7.3,18.0,5.4,karpio
7.5,23.0,6.4,karpio
7.4,25.0,7.4,karpio
7.0,27.0,8.4,karpio
7.1,28.0,9.4,karpio
7.2,4.0,9.3,karpio
