hatchery_id,hatchery_name,division,district,upazila,fish_species,owner_name,phone,address,hatchery_type,service_type,source,source_year,verification_status,notes
1,BMC Hatchery Ltd.,চট্টগ্রাম,কক্সবাজার,টেকনাফ,বাগদা চিংড়ি,,,,Shrimp hatchery,পোনা/PL,Department of Fisheries-related published hatchery list (historical reference),2002,Historical - verify current status before public display,Do not treat as a current active-hatchery directory.
2,Moon Star Hatchery Ltd.,চট্টগ্রাম,কক্সবাজার,টেকনাফ,বাগদা চিংড়ি,,,,Shrimp hatchery,পোনা/PL,Department of Fisheries-related published hatchery list (historical reference),2002,Historical - verify current status before public display,Do not treat as a current active-hatchery directory.
3,Aquaventure Hatchery Ltd.,চট্টগ্রাম,কক্সবাজার,টেকনাফ,বাগদা চিংড়ি,,,,Shrimp hatchery,পোনা/PL,Department of Fisheries-related published hatchery list (historical reference),2002,Historical - verify current status before public display,Do not treat as a current active-hatchery directory.
4,Sea King (Bashundhara) Hatchery,চট্টগ্রাম,কক্সবাজার,টেকনাফ,বাগদা চিংড়ি,,,,Shrimp hatchery,পোনা/PL,Department of Fisheries-related published hatchery list (historical reference),2002,Historical - verify current status before public display,Do not treat as a current active-hatchery directory.
5,Beach Hatchery Ltd.,চট্টগ্রাম,কক্সবাজার,টেকনাফ,বাগদা চিংড়ি,,,,Shrimp hatchery,পোনা/PL,Department of Fisheries-related published hatchery list (historical reference),2002,Historical - verify current status before public display,Do not treat as a current active-hatchery directory.
6,A & I Bagda Hatchery Ltd.,চট্টগ্রাম,কক্সবাজার,টেকনাফ,বাগদা চিংড়ি,,,,Shrimp hatchery,পোনা/PL,Department of Fisheries-related published hatchery list (historical reference),2002,Historical - verify current status before public display,Do not treat as a current active-hatchery directory.
7,Al-Monsur Hatchery Ltd.,চট্টগ্রাম,কক্সবাজার,টেকনাফ,বাগদা চিংড়ি,,,,Shrimp hatchery,পোনা/PL,Department of Fisheries-related published hatchery list (historical reference),2002,Historical - verify current status before public display,Do not treat as a current active-hatchery directory.
8,Sea King Hatchery Ltd.,চট্টগ্রাম,কক্সবাজার,উখিয়া,বাগদা চিংড়ি,,,,Shrimp hatchery,পোনা/PL,Department of Fisheries-related published hatchery list (historical reference),2002,Historical - verify current status before public display,Do not treat as a current active-hatchery directory.
9,Unique Bangal Hatchery Ltd.,চট্টগ্রাম,কক্সবাজার,উখিয়া,বাগদা চিংড়ি,,,,Shrimp hatchery,পোনা/PL,Department of Fisheries-related published hatchery list (historical reference),2002,Historical - verify current status before public display,Do not treat as a current active-hatchery directory.
10,Sea Gold Hatchery Ltd.,চট্টগ্রাম,কক্সবাজার,উখিয়া,বাগদা চিংড়ি,,,,Shrimp hatchery,পোনা/PL,Department of Fisheries-related published hatchery list (historical reference),2002,Historical - verify current status before public display,Do not treat as a current active-hatchery directory.
11,Diamond Hatchery Ltd.,চট্টগ্রাম,কক্সবাজার,উখিয়া,বাগদা চিংড়ি,,,,Shrimp hatchery,পোনা/PL,Department of Fisheries-related published hatchery list (historical reference),2002,Historical - verify current status before public display,Do not treat as a current active-hatchery directory.
12,Inter Export Hatchery Ltd.,চট্টগ্রাম,কক্সবাজার,উখিয়া,বাগদা চিংড়ি,,,,Shrimp hatchery,পোনা/PL,Department of Fisheries-related published hatchery list (historical reference),2002,Historical - verify current status before public display,Do not treat as a current active-hatchery directory.
13,Royal Hatchery Ltd.,চট্টগ্রাম,কক্সবাজার,উখিয়া,বাগদা চিংড়ি,,,,Shrimp hatchery,পোনা/PL,Department of Fisheries-related published hatchery list (historical reference),2002,Historical - verify current status before public display,Do not treat as a current active-hatchery directory.
14,Borac Hatchery Ltd.,চট্টগ্রাম,কক্সবাজার,উখিয়া,বাগদা চিংড়ি,,,,Shrimp hatchery,পোনা/PL,Department of Fisheries-related published hatchery list (historical reference),2002,Historical - verify current status before public display,Do not treat as a current active-hatchery directory.
15,Sorex Hatchery Ltd.,চট্টগ্রাম,কক্সবাজার,উখিয়া,বাগদা চিংড়ি,,,,Shrimp hatchery,পোনা/PL,Department of Fisheries-related published hatchery list (historical reference),2002,Historical - verify current status before public display,Do not treat as a current active-hatchery directory.
16,S Alam Hatchery Ltd.,চট্টগ্রাম,কক্সবাজার,উখিয়া,বাগদা চিংড়ি,,,,Shrimp hatchery,পোনা/PL,Department of Fisheries-related published hatchery list (historical reference),2002,Historical - verify current status before public display,Do not treat as a current active-hatchery directory.
17,Mostafa Hatchery Ltd.,চট্টগ্রাম,কক্সবাজার,উখিয়া,বাগদা চিংড়ি,,,,Shrimp hatchery,পোনা/PL,Department of Fisheries-related published hatchery list (historical reference),2002,Historical - verify current status before public display,Do not treat as a current active-hatchery directory.
18,Radient Hatchery Ltd.,চট্টগ্রাম,কক্সবাজার,উখিয়া,বাগদা চিংড়ি,,,,Shrimp hatchery,পোনা/PL,Department of Fisheries-related published hatchery list (historical reference),2002,Historical - verify current status before public display,Do not treat as a current active-hatchery directory.
19,White Gold Hatchery Ltd.,চট্টগ্রাম,কক্সবাজার,উখিয়া,বাগদা চিংড়ি,,,,Shrimp hatchery,পোনা/PL,Department of Fisheries-related published hatchery list (historical reference),2002,Historical - verify current status before public display,Do not treat as a current active-hatchery directory.
