farm_id,division,district,upazila,farm_name,manager_name,address,phone,email,website,farm_type,fish_species,service_type,source,source_year,verification_status
1,Dhaka,Gazipur,Sreepur,"Sreepur Mini Hatchery, Sreepur, Gazipur",,,,,,,,,DoF Farm List,DoF Farm List (PDF supplied by user),Source-listed; current activity not independently verified
2,Dhaka,Gazipur,Tongi,"F.S.M.F, Tongi, Gazipur",Md. Kamal Hossain,,1769459167,fmtongi@fiheries.gov.bd,https://fmo.gazipur.gov.bd/,,,,DoF Farm List,DoF Farm List (PDF supplied by user),Source-listed; current activity not independently verified
3,Dhaka,Mymensingh,Sadar,"F.S.M.F, Shamvuganj, Mymensingh",Md. Shahdat Islam,,1769459915,fmshambhuganj@fisheries.gov.bd,http://fsmfs.mymensinghsadar.mymensingh.gov.bd/,,,,DoF Farm List,DoF Farm List (PDF supplied by user),Source-listed; current activity not independently verified
4,Dhaka,Mymensingh,Phulpur,"F.S.M.F, Phulpur, Mymensingh",A.K.M Shafiqul Islam,,1711126528,fmphulpur@fisheries.gov.bd,http://fsmf.phulpur.mymensingh.gov.bd/en,,,,DoF Farm List,DoF Farm List (PDF supplied by user),Source-listed; current activity not independently verified
5,Dhaka,Mymensingh,Ishwarganj,"F.S.M.F, Ishwarganj, Mymensingh",,,,fmishwarganj@fisheries.gov.bd,,,,,DoF Farm List,DoF Farm List (PDF supplied by user),Source-listed; current activity not independently verified
6,Dhaka,Mymensingh,Nandail,"F.S.M.F, Nandail, Mymensingh",A.K.M Shafiqul Islam,,1769459918,fmnandail@fisheries.gov.bd,http://www.fsmf.nandail.mymensingh.gov.bd/en,,,,DoF Farm List,DoF Farm List (PDF supplied by user),Source-listed; current activity not independently verified
7,Dhaka,Kishoreganj,Sadar,"F.S.M.F, Kishoreganj Sadar, Kishoreganj",Sohel Ahmed,,01728765494,fmkishoreganjsadar@fisheries.gov.bd,http://fsmf.kishoreganjsadar.kishoreganj.gov.bd/,,,,DoF Farm List,DoF Farm List (PDF supplied by user),Source-listed; current activity not independently verified
8,Dhaka,Kishoreganj,Katiadi,"Fish Hatchery Complex, Katiadi, Kishoreganj",Md. Monzurul Hoque,,1769459280,hokatiadi@fisheries.gov.bd,http://chc.katiadi.kishoreganj.gov.bd/,Hatchery,,,DoF Farm List,DoF Farm List (PDF supplied by user),Source-listed; current activity not independently verified
9,Dhaka,Gopalganj,Sadar,"F.S.M.F, Gopalganj Sadar, Gopalganj",Tanzila Akhter Nipa,,1769459244,fmgopalganj@fisheries.gov.bd,http://fsmf.sadar.gopalganj.gov.bd/,,,,DoF Farm List,DoF Farm List (PDF supplied by user),Source-listed; current activity not independently verified
10,Dhaka,Narsingdi,Sadar/Baghata,"F.S.M.F, Baghata, Narsingdi",S.M. Mustafizur Rahman,,01769-459262,fmnarsingdisadar@fisheries.gov.bd,http://fsmf.narsingdisadar.narsingdi.gov.bd/en,,,,DoF Farm List,DoF Farm List (PDF supplied by user),Source-listed; current activity not independently verified
11,Dhaka,Faridpur,Sadar,"F.S.M.F, Faridpur Sadar, Faridpur",Shireen Sharmin Khan,,01769459202,fmfaridpursadar@fisheries.gov.bd,http://fsmf.sadar.faridpur.gov.bd/,,,,DoF Farm List,DoF Farm List (PDF supplied by user),Source-listed; current activity not independently verified
12,Dhaka,Faridpur,,"Fisheries Training & Extention Center, Faridpur",Md. Mahbub Hossain,,1769459290,,https://ftec.faridpur.gov.bd/en,,,,DoF Farm List,DoF Farm List (PDF supplied by user),Source-listed; current activity not independently verified
13,Dhaka,Tangail,Sadar,"F.S.M.F, Tangail Sadar, Tangail",Md. Anwarul Kabir,,1769459199,fmtangail@fisheries.gov.bd,http://fmo.tangailsadar.tangail.gov.bd/en,,,,DoF Farm List,DoF Farm List (PDF supplied by user),Source-listed; current activity not independently verified
14,Dhaka,Munshiganj,Sadar,"F.S.M.F, Munshiganj Sadar, Munshiganj",Golum Maoula Mohammad Rasel,,01769-459236,fmmunshiganj@fisheries.gov.bd,http://fsmf.sadar.munshiganj.gov.bd/,,,,DoF Farm List,DoF Farm List (PDF supplied by user),Source-listed; current activity not independently verified
15,Dhaka,Shariatpur,Gosairhat,"F.S.M.F, Gosairhat, Shariatpur",,,,,,,,,DoF Farm List,DoF Farm List (PDF supplied by user),Source-listed; current activity not independently verified
16,Rajshahi,Chapainawabganj,Sadar,"F.S.M.F, Chapainawabganj Sadar, Chapainawabganj",Aliza Khatun,,1769459659,fsmfamnura@fisheries.gov.bd,http://fsmf.chapainawabganjsadar.chapainawabganj.gov.bd/en,,,,DoF Farm List,DoF Farm List (PDF supplied by user),Source-listed; current activity not independently verified
17,Rajshahi,Chapainawabganj,Nachole,"F.S.M.F, Nachole, Chapainawabganj",Md.Imrul kayes,,01769459658,fmnachol@gmail.com,http://fsmf.nachol.chapainawabganj.gov.bd/en,,,,DoF Farm List,DoF Farm List (PDF supplied by user),Source-listed; current activity not independently verified
18,Rajshahi,Natore,Sadar,"F.S.M.F, Natore Sadar, Natore",Md. Jainul Abedin,,1769459669,fmnatore@fisheries.gov.bd,http://fsmf.natoresadar.natore.gov.bd/en,,,,DoF Farm List,DoF Farm List (PDF supplied by user),Source-listed; current activity not independently verified
19,Rajshahi,Natore,Boraigram,"F.S.M.F, Karbala, Boraigram, Natore",Md. Noor-Alam,,01769-459670,fmkarbala@fisheries.gov.bd,http://fsmf.baraigram.natore.gov.bd/en,,,,DoF Farm List,DoF Farm List (PDF supplied by user),Source-listed; current activity not independently verified
20,Rajshahi,Natore,Boraigram,"F.S.M.F, Boraigram, Natore",,,,,,,,,DoF Farm List,DoF Farm List (PDF supplied by user),Source-listed; current activity not independently verified
21,Rajshahi,Bogura,Sadar/Malatinagar,"F.S.M.F, Malatinagar, Bogura",Md. Mahmud Hasan,,1769459726,fmmaltinagar@fisheries.gov.bd,https://fmo.bogra.gov.bd/en,,,,DoF Farm List,DoF Farm List (PDF supplied by user),Source-listed; current activity not independently verified
22,Rajshahi,Bogura,Sherpur,"F.S.M.F, Sherpur, Bogura",Md. Rajoun Kabir Chowdhury,,1769459727,fmsherpur@fisheries.gov.bd,http://fmo.sherpur.bogra.gov.bd/en,,,,DoF Farm List,DoF Farm List (PDF supplied by user),Source-listed; current activity not independently verified
23,Rajshahi,Naogaon,Sadar,"F.S.M.F, Naogaon Sadar, Naogaon",Md. Abdul Mannan,,1769459685,fmnaogao@fisheries.gov.bd,http://fsmf.naogaonsadar.naogaon.gov.bd/,,,,DoF Farm List,DoF Farm List (PDF supplied by user),Source-listed; current activity not independently verified
24,Khulna,Bagerhat,Sadar,"F.S.M.F, Bagherhat Sadar, Bagherhat",Nirmal Kumar Kundu,,1769459485,fmbagherhat@fisheries.gov.bd,https://fsmf.bagerhat.gov.bd/en,,,,DoF Farm List,DoF Farm List (PDF supplied by user),Source-listed; current activity not independently verified
25,Khulna,Jashore,Sadar,"F.S.M.F, Jashore Sadar, Jashore",Lipi poul,,1769459560,fmjashore@fisheries.gov.bd,http://fsmf.sadar.jessore.gov.bd/en,,,,DoF Farm List,DoF Farm List (PDF supplied by user),Source-listed; current activity not independently verified
26,Khulna,Jashore,Jhikargachha,"F.S.M.F, Jikargachha, Jashore",Md. Nannu Reja,,1769459497,fmjikargachha@fisheries.gov.bd,http://fsmf.jhikargacha.jessore.gov.bd/en,,,,DoF Farm List,DoF Farm List (PDF supplied by user),Source-listed; current activity not independently verified
27,Khulna,Jashore,Sharsha,"F.S.M.F, Bagachra, Sharsha, Jashore",Palash Bala,,1769459493,fmbagachra@gmail.com,http://www.fsmf.sharsha.jessore.gov.bd/en,,,,DoF Farm List,DoF Farm List (PDF supplied by user),Source-listed; current activity not independently verified
28,Khulna,Jashore,Jhikargachha,"F.S.M.F, Jhikargacha, Jessore",Md. Nannu Reja,,1769459497,fmjhikargachha@gmail.com,http://fsmf.jhikargacha.jessore.gov.bd/,,,,DoF Farm List,DoF Farm List (PDF supplied by user),Source-listed; current activity not independently verified
29,Khulna,Chuadanga,Sadar,"F.S.M.F, Chuadanga Sadar, Chuadanga",Md. Alauddin,,1769459544,fmchuadanga@fisheries.gov.bd,http://fsmf.chuadangasadar.chuadanga.gov.bd/en,,,,DoF Farm List,DoF Farm List (PDF supplied by user),Source-listed; current activity not independently verified
30,Khulna,Chuadanga,Jibannagar,"F.S.M.F, Jibannagar, Chuadanga",Md Din Islam,,1334911715,fmjibannagar@fisheries.gov.bd,http://www.fsmf.jibannagar.chuadanga.gov.bd/en,,,,DoF Farm List,DoF Farm List (PDF supplied by user),Source-listed; current activity not independently verified
31,Khulna,Meherpur,Sadar,"F.S.M.F, Meherpur Sadar, Meherpur",Md Iqbal Sharif,,1769459537,fmmeherpur@fisheries.gov.bd,http://fsmf.meherpursadar.meherpur.gov.bd/en,,,,DoF Farm List,DoF Farm List (PDF supplied by user),Source-listed; current activity not independently verified
32,Khulna,Jhenaidah,Sadar,"F.S.M.F, Jhenaidah Sadar, Jhenaidah",Md Amanulla,,1716282177,fmjhenaidah@fisheries.gov.bd,https://fspf.jhenaidah.gov.bd/,,,,DoF Farm List,DoF Farm List (PDF supplied by user),Source-listed; current activity not independently verified
33,Khulna,Jhenaidah,Kotchandpur,"Central Hatchery, Kotchandpur, Jhenaidah",Md Mahbubur Rahman,,1769459549,,http://chc.kotchandpur.jhenaidah.gov.bd/en,Hatchery,,,DoF Farm List,DoF Farm List (PDF supplied by user),Source-listed; current activity not independently verified
34,Khulna,Satkhira,Sadar,"F.S.M.F, Satkhira Sadar, Satkhira",Md. Aowsafur Rahman,,1769459472,fmsatkhira@fisheries.gov.bd,http://fsmf.satkhirasadar.satkhira.gov.bd/en,,,,DoF Farm List,DoF Farm List (PDF supplied by user),Source-listed; current activity not independently verified
35,Khulna,Satkhira,Debhata,"F.S.M.F, Debhata, Satkhira",Md. Aowsafur Rahman,,1769459473,fmsatkhira@fisheries.gov.bd,http://fsmf.debhata.satkhira.gov.bd/en,,,,DoF Farm List,DoF Farm List (PDF supplied by user),Source-listed; current activity not independently verified
36,Khulna,Satkhira,Kaliganj,"RFO Office in/c Shrimp Demonstration Firm & Hatchery Unit, Kaliganj, Satkhira",,,,,http://hofisheries.kaliganj.satkhira.gov.bd/,Shrimp Hatchery Unit,,,DoF Farm List,DoF Farm List (PDF supplied by user),Source-listed; current activity not independently verified
37,Khulna,Khulna,Sadar,"F.S.M.F, Khulna Sadar, Khulna",Mahedi Hasan,,1769459462,fmkhulnasadar@fisheries.gov.bd,https://fsmf.khulna.gov.bd/en,,,,DoF Farm List,DoF Farm List (PDF supplied by user),Source-listed; current activity not independently verified
38,Khulna,Khulna,Dumuria,"F.S.M.F, Dumuria, Khulna",kh. Mahbuba Sultana,,1776513161,fmdumuria@fisheries.gov.bd,http://fsmf.dumuria.khulna.gov.bd/en,,,,DoF Farm List,DoF Farm List (PDF supplied by user),Source-listed; current activity not independently verified
39,Rangpur,Gaibandha,Sadar,"F.S.M.F, Gaibandha Sadar, Gaibandha",Md. Mostofa Kamal,,01769-459753,fmgaibandhasadar@fisheries.gov.bd,http://www.fsmf.gaibandhasadar.gaibandha.gov.bd/,,,,DoF Farm List,DoF Farm List (PDF supplied by user),Source-listed; current activity not independently verified
40,Rangpur,Gaibandha,Gobindaganj,"F.S.M.F, Gobindaganj, Gaibandha",Md. Moshiur Rahman Sarker,,1769459752,fmgaibandha@fisheries.gov.bd,http://www.fisheriesfarm.gobindaganj.gaibandha.gov.bd/en,,,,DoF Farm List,DoF Farm List (PDF supplied by user),Source-listed; current activity not independently verified
41,Rangpur,Dinajpur,Saidpur,"F.S.M.F, Saidpur, Nilphamari",Abdullah Al Mahmud,,1769459783,fmsaidpur@fisheries.gov.bd,http://fsmf.syedpur.nilphamari.gov.bd/,,,,DoF Farm List,DoF Farm List (PDF supplied by user),Source-listed; current activity not independently verified
42,Rangpur,Dinajpur,Thakurgaon Sadar,"F.S.M.F, Thakurgaon Sadar, Thakurgaon",Md. Abdul Malek,,1769459791,fmthakurgaon@fisherise.gov.bd,https://fsmf.thakurgaon.gov.bd/,,,,DoF Farm List,DoF Farm List (PDF supplied by user),Source-listed; current activity not independently verified
