fish_id,fish_name_bn,fish_name_en,category,culture_type,availability_type,country,source,source_reference,source_year,verification_status,notes
1,রুই,Rohu,Major Carp,Freshwater aquaculture,হ্যাচারি/নার্সারি,Bangladesh,"Department of Fisheries (DoF), Bangladesh",DoF Fisheries Sector Overview + DoF Hatchery Registration System,2023-24 / current registration categories,Master species list; local hatchery availability must be verified,
2,কাতলা,Catla,Major Carp,Freshwater aquaculture,হ্যাচারি/নার্সারি,Bangladesh,"Department of Fisheries (DoF), Bangladesh",DoF Fisheries Sector Overview + DoF Hatchery Registration System,2023-24 / current registration categories,Master species list; local hatchery availability must be verified,
3,মৃগেল,Mrigal,Major Carp,Freshwater aquaculture,হ্যাচারি/নার্সারি,Bangladesh,"Department of Fisheries (DoF), Bangladesh",DoF Fisheries Sector Overview + DoF Hatchery Registration System,2023-24 / current registration categories,Master species list; local hatchery availability must be verified,
4,কালিবাউশ,Kalibaus,Major Carp,Freshwater aquaculture,হ্যাচারি/নার্সারি,Bangladesh,"Department of Fisheries (DoF), Bangladesh",DoF Fisheries Sector Overview + DoF Hatchery Registration System,2023-24 / current registration categories,Master species list; local hatchery availability must be verified,
5,বাটা,Bata,Other cultured fish,Freshwater aquaculture,হ্যাচারি/নার্সারি,Bangladesh,"Department of Fisheries (DoF), Bangladesh",DoF Fisheries Sector Overview + DoF Hatchery Registration System,2023-24 / current registration categories,Master species list; local hatchery availability must be verified,
6,গনিয়া,Gonia,Other carp,Freshwater aquaculture,হ্যাচারি/নার্সারি,Bangladesh,"Department of Fisheries (DoF), Bangladesh",DoF Fisheries Sector Overview + DoF Hatchery Registration System,2023-24 / current registration categories,Master species list; local hatchery availability must be verified,
7,সিলভার কার্প,Silver Carp,Exotic Carp,Freshwater aquaculture,হ্যাচারি/নার্সারি,Bangladesh,"Department of Fisheries (DoF), Bangladesh",DoF Fisheries Sector Overview + DoF Hatchery Registration System,2023-24 / current registration categories,Master species list; local hatchery availability must be verified,
8,গ্রাস কার্প,Grass Carp,Exotic Carp,Freshwater aquaculture,হ্যাচারি/নার্সারি,Bangladesh,"Department of Fisheries (DoF), Bangladesh",DoF Fisheries Sector Overview + DoF Hatchery Registration System,2023-24 / current registration categories,Master species list; local hatchery availability must be verified,
9,কমন কার্প,Common Carp,Exotic Carp,Freshwater aquaculture,হ্যাচারি/নার্সারি,Bangladesh,"Department of Fisheries (DoF), Bangladesh",DoF Fisheries Sector Overview + DoF Hatchery Registration System,2023-24 / current registration categories,Master species list; local hatchery availability must be verified,
10,বিগহেড কার্প,Bighead Carp,Exotic Carp,Freshwater aquaculture,হ্যাচারি/নার্সারি,Bangladesh,"Department of Fisheries (DoF), Bangladesh",DoF Fisheries Sector Overview + DoF Hatchery Registration System,2023-24 / current registration categories,Master species list; local hatchery availability must be verified,
11,তেলাপিয়া,Tilapia,Tilapia,Freshwater aquaculture,হ্যাচারি/নার্সারি,Bangladesh,"Department of Fisheries (DoF), Bangladesh",DoF Fisheries Sector Overview + DoF Hatchery Registration System,2023-24 / current registration categories,Master species list; local hatchery availability must be verified,
12,রেড তেলাপিয়া,Red Tilapia,Tilapia,Freshwater aquaculture,হ্যাচারি/নার্সারি,Bangladesh,"Department of Fisheries (DoF), Bangladesh",DoF Fisheries Sector Overview + DoF Hatchery Registration System,2023-24 / current registration categories,Master species list; local hatchery availability must be verified,
13,পাঙ্গাস,Pangasius,Catfish,Freshwater aquaculture,হ্যাচারি/নার্সারি,Bangladesh,"Department of Fisheries (DoF), Bangladesh",DoF Fisheries Sector Overview + DoF Hatchery Registration System,2023-24 / current registration categories,Master species list; local hatchery availability must be verified,
14,থাই পুঁটি,Thai Punti,Other cultured fish,Freshwater aquaculture,হ্যাচারি/নার্সারি,Bangladesh,"Department of Fisheries (DoF), Bangladesh",DoF Fisheries Sector Overview + DoF Hatchery Registration System,2023-24 / current registration categories,Master species list; local hatchery availability must be verified,
15,কই,Koi,Native/Other Fish,Freshwater aquaculture,হ্যাচারি/নার্সারি,Bangladesh,"Department of Fisheries (DoF), Bangladesh",DoF Fisheries Sector Overview + DoF Hatchery Registration System,2023-24 / current registration categories,Master species list; local hatchery availability must be verified,
16,শিং,Shing,Catfish,Freshwater aquaculture,হ্যাচারি/নার্সারি,Bangladesh,"Department of Fisheries (DoF), Bangladesh",DoF Fisheries Sector Overview + DoF Hatchery Registration System,2023-24 / current registration categories,Master species list; local hatchery availability must be verified,
17,মাগুর,Magur,Catfish,Freshwater aquaculture,হ্যাচারি/নার্সারি,Bangladesh,"Department of Fisheries (DoF), Bangladesh",DoF Fisheries Sector Overview + DoF Hatchery Registration System,2023-24 / current registration categories,Master species list; local hatchery availability must be verified,
18,পাবদা,Pabda,Native/Other Fish,Freshwater aquaculture,হ্যাচারি/নার্সারি,Bangladesh,"Department of Fisheries (DoF), Bangladesh",DoF Fisheries Sector Overview + DoF Hatchery Registration System,2023-24 / current registration categories,Master species list; local hatchery availability must be verified,
19,গুলশা,Gulsha,Native/Other Fish,Freshwater aquaculture,হ্যাচারি/নার্সারি,Bangladesh,"Department of Fisheries (DoF), Bangladesh",DoF Fisheries Sector Overview + DoF Hatchery Registration System,2023-24 / current registration categories,Master species list; local hatchery availability must be verified,
