mapping_id,farm_id,farm_name,division,district,upazila,fish_species,service_type,source,source_year,verification_status
1,1,"Sreepur Mini Hatchery, Sreepur, Gazipur",Dhaka,Gazipur,Sreepur,,,Department of Fisheries Bangladesh - Farm List,2026,Species not yet verified
2,2,"F.S.M.F, Tongi, Gazipur",Dhaka,Gazipur,Tongi,,,Department of Fisheries Bangladesh - Farm List,2026,Species not yet verified
3,3,"F.S.M.F, Shamvuganj, Mymensingh",Dhaka,Mymensingh,Sadar,,,Department of Fisheries Bangladesh - Farm List,2026,Species not yet verified
4,4,"F.S.M.F, Phulpur, Mymensingh",Dhaka,Mymensingh,Phulpur,,,Department of Fisheries Bangladesh - Farm List,2026,Species not yet verified
5,5,"F.S.M.F, Ishwarganj, Mymensingh",Dhaka,Mymensingh,Ishwarganj,,,Department of Fisheries Bangladesh - Farm List,2026,Species not yet verified
6,6,"F.S.M.F, Nandail, Mymensingh",Dhaka,Mymensingh,Nandail,,,Department of Fisheries Bangladesh - Farm List,2026,Species not yet verified
7,7,"F.S.M.F, Kishoreganj Sadar, Kishoreganj",Dhaka,Kishoreganj,Sadar,,,Department of Fisheries Bangladesh - Farm List,2026,Species not yet verified
8,8,"Fish Hatchery Complex, Katiadi, Kishoreganj",Dhaka,Kishoreganj,Katiadi,,,Department of Fisheries Bangladesh - Farm List,2026,Species not yet verified
9,9,"F.S.M.F, Gopalganj Sadar, Gopalganj",Dhaka,Gopalganj,Sadar,,,Department of Fisheries Bangladesh - Farm List,2026,Species not yet verified
10,10,"F.S.M.F, Baghata, Narsingdi",Dhaka,Narsingdi,Sadar/Baghata,,,Department of Fisheries Bangladesh - Farm List,2026,Species not yet verified
11,11,"F.S.M.F, Faridpur Sadar, Faridpur",Dhaka,Faridpur,Sadar,,,Department of Fisheries Bangladesh - Farm List,2026,Species not yet verified
12,12,"Fisheries Training & Extention Center, Faridpur",Dhaka,Faridpur,,,,Department of Fisheries Bangladesh - Farm List,2026,Species not yet verified
13,13,"F.S.M.F, Tangail Sadar, Tangail",Dhaka,Tangail,Sadar,,,Department of Fisheries Bangladesh - Farm List,2026,Species not yet verified
14,14,"F.S.M.F, Munshiganj Sadar, Munshiganj",Dhaka,Munshiganj,Sadar,,,Department of Fisheries Bangladesh - Farm List,2026,Species not yet verified
15,15,"F.S.M.F, Gosairhat, Shariatpur",Dhaka,Shariatpur,Gosairhat,,,Department of Fisheries Bangladesh - Farm List,2026,Species not yet verified
16,16,"F.S.M.F, Chapainawabganj Sadar, Chapainawabganj",Rajshahi,Chapainawabganj,Sadar,,,Department of Fisheries Bangladesh - Farm List,2026,Species not yet verified
17,17,"F.S.M.F, Nachole, Chapainawabganj",Rajshahi,Chapainawabganj,Nachole,,,Department of Fisheries Bangladesh - Farm List,2026,Species not yet verified
18,18,"F.S.M.F, Natore Sadar, Natore",Rajshahi,Natore,Sadar,,,Department of Fisheries Bangladesh - Farm List,2026,Species not yet verified
