fish_id,fish_name_bn,fish_name_en
1,রুই,Rohu
2,কাতলা,Catla
3,মৃগেল,Mrigal
4,কালিবাউশ,Kalibaus
5,বাটা,Bata
6,গনিয়া,Gonia
7,সিলভার কার্প,Silver Carp
8,গ্রাস কার্প,Grass Carp
9,কমন কার্প,Common Carp
10,বিগহেড কার্প,Bighead Carp
11,তেলাপিয়া,Tilapia
12,রেড তেলাপিয়া,Red Tilapia
13,পাঙ্গাস,Pangasius
14,থাই পুঁটি,Thai Punti
15,কই,Koi
16,শিং,Shing
17,মাগুর,Magur
18,পাবদা,Pabda
19,গুলশা,Gulsha
20,টেংরা,Tengra
21,রিটা,Rita
22,বোয়াল,Boal
23,শোল,Shol
24,টাকি,Taki
25,গজার,Gajar
26,চিতল,Chital
27,ফলি,Foli
28,মলা,Mola
29,পুঁটি,Puti
30,চাপিলা,Chapila
31,বাইল্যা,Baila
32,কুচিয়া,Kuchia
33,ইলিশ,Hilsa
34,ভেটকি/কোরাল,Bhetki/Koral
35,রূপচাঁদা,Pomfret
36,পোয়া,Croaker
37,লইট্টা,Bombay Duck
38,ছুরি মাছ,Ribbonfish
39,বাগদা চিংড়ি,Black Tiger Shrimp
40,গলদা চিংড়ি,Giant Freshwater Prawn
41,কাঁকড়া,Mud Crab
